Date;Average temperature (°F);Average humidity (%);Average dewpoint (°F);Average barometer (in);Average windspeed (mph);Average gustspeed (mph);Average direction (°deg);Rainfall for month (in);Rainfall for year (in);Maximum rain per minute;Maximum temperature (°F);Minimum temperature (°F);Maximum humidity (%);Minimum humidity (%);Maximum pressure;Minimum pressure;Maximum windspeed (mph);Maximum gust speed (mph);Maximum heat index (°F);Date1;Month;diff_pressure
21/08/2011;643;570;455;298;44;67;2760;24;918;0;840;489;920;190;29916;29687;184;242;813;21/08/2011;8;2,29E+15
22/08/2011;678;430;414;298;52;78;2840;24;918;0;839;504;790;190;29854;29674;184;265;812;22/08/2011;8;1,8E+16
23/08/2011;711;300;342;297;52;80;2930;24;918;0;876;511;650;120;29795;2961;161;253;839;23/08/2011;8;1,85E+16
24/08/2011;682;360;373;298;35;54;3170;24;918;0;861;488;800;160;29879;29693;196;311;828;24/08/2011;8;1,86E+16
25/08/2011;660;480;425;298;47;68;2870;35;929;0;856;462;850;180;2988;2967;173;265;824;25/08/2011;8;2,1E+15
26/08/2011;645;570;471;299;28;45;10;35;929;0;809;502;900;230;3001;29751;196;265;795;26/08/2011;8;2,59E+16
27/08/2011;637;570;457;299;29;46;2710;35;929;0;830;473;920;220;30017;29736;150;219;808;27/08/2011;8;2,81E+15
28/08/2011;626;600;471;298;22;36;100;39;933;0;840;510;850;200;29914;29681;219;288;813;28/08/2011;8;2,33E+16
29/08/2011;621;620;466;297;50;77;2820;45;939;0;785;511;940;250;29853;29578;207;357;790;29/08/2011;8;2,75E+16
30/08/2011;675;350;371;296;74;108;2810;45;939;0;820;520;610;200;29723;29541;207;345;799;30/08/2011;8;1,82E+15
31/08/2011;697;330;366;296;82;119;2650;45;939;0;849;551;770;140;29726;29405;345;518;818;31/08/2011;8;3,21E+16
26/09/2011;612;310;258;298;33;53;2940;0;939;0;781;383;680;110;29833;29664;161;219;770;26/09/2011;9;1,69E+16
27/09/2011;572;400;298;299;20;37;2940;0;939;0;765;372;840;140;30075;29824;115;207;766;27/09/2011;9;2,51E+16
29/09/2011;534;430;284;300;54;73;3260;0;939;0;671;356;780;210;30342;29869;104;127;739;29/09/2011;9;4,73E+14
30/09/2011;522;500;283;301;31;50;2810;0;939;0;785;295;920;120;30327;29894;161;276;776;30/09/2011;9;4,33E+15
1/10/2011;556;440;305;300;27;44;2700;0;1046;0;758;356;760;160;30176;29821;219;265;770;1/10/2011;10;3,55E+15
2/10/2011;580;410;328;299;28;44;2910;0;1046;0;736;428;680;180;30023;29822;127;173;776;2/10/2011;10;2,01E+15
3/10/2011;550;490;337;299;19;35;2480;0;1046;0;727;373;800;230;3015;29777;150;207;783;3/10/2011;10;3,73E+16
4/10/2011;541;520;344;298;41;62;2600;0;1046;0;708;373;760;240;29921;29531;219;311;771;4/10/2011;10;3,9E+16
5/10/2011;543;470;338;295;57;88;2750;0;1046;0;629;215;740;240;29585;29281;161;242;629;5/10/2011;10;3,04E+16
6/10/2011;444;500;254;294;81;120;2790;1;1047;0;626;350;830;240;296;2912;299;426;626;6/10/2011;10;4,8E+15
7/10/2011;408;270;86;298;120;174;2770;2;1048;0;507;335;410;150;2992;29557;276;426;507;7/10/2011;10;3,63E+15
8/10/2011;341;760;261;300;10;19;2860;22;1068;0;386;301;910;320;30226;29762;115;127;386;8/10/2011;10;4,64E+16
9/10/2011;366;740;283;301;25;41;3320;24;107;0;499;256;900;320;30253;29935;161;219;499;9/10/2011;10;3,18E+15
10/10/2011;428;490;228;299;75;108;2790;24;107;0;566;298;910;260;30014;29747;242;345;566;10/10/2011;10;2,67E+16
11/10/2011;456;540;290;297;79;119;2740;26;1072;0;557;347;820;290;29841;29633;230;334;557;11/10/2011;10;2,08E+16
12/10/2011;481;300;156;299;95;146;2750;27;1073;0;581;403;760;130;30033;29744;219;437;581;12/10/2011;10;2,89E+15
13/10/2011;542;230;164;298;30;41;2570;27;1073;0;665;460;440;160;29932;29688;253;368;738;13/10/2011;10;2,44E+16
14/10/2011;554;310;242;298;0;0;2740;27;1073;0;687;443;450;180;29872;29685;0;0;742;14/10/2011;10;1,87E+16
15/10/2011;608;230;214;298;0;0;2640;27;1073;0;737;504;340;120;29907;29619;0;0;743;15/10/2011;10;2,88E+16
16/10/2011;558;360;263;297;0;0;3190;27;1073;0;709;350;770;150;29946;29584;0;0;771;16/10/2011;10;3,62E+15
17/10/2011;455;510;279;299;0;0;2960;34;108;0;560;385;870;310;30182;29513;0;0;560;17/10/2011;10;6,69E+15
18/10/2011;402;420;171;302;0;0;3400;34;108;0;528;278;760;200;30359;30054;0;0;528;18/10/2011;10;3,05E+16
19/10/2011;364;520;173;301;0;0;260;34;108;0;583;183;860;190;30358;29896;0;0;583;19/10/2011;10;4,62E+16
20/10/2011;507;270;168;299;0;0;2820;34;108;0;635;304;620;150;30016;29715;0;0;635;20/10/2011;10;3,01E+15
21/10/2011;513;280;182;300;0;0;2890;34;108;0;645;383;460;130;30104;29834;0;0;704;21/10/2011;10;2,7E+15
22/10/2011;497;350;215;300;0;0;2920;34;108;0;610;385;630;170;30085;29887;0;0;610;22/10/2011;10;1,98E+15
23/10/2011;542;220;153;299;0;0;2820;34;108;0;663;465;320;110;29988;29833;0;0;703;23/10/2011;10;1,55E+16
24/10/2011;541;200;132;298;0;0;2830;34;108;0;658;405;350;100;29966;29618;0;0;709;24/10/2011;10;3,48E+16
25/10/2011;437;540;252;298;0;0;3380;35;1081;0;592;266;910;230;3007;29604;0;0;592;25/10/2011;10;4,66E+15
26/10/2011;224;860;188;303;29;41;760;35;1081;0;266;146;910;770;30383;30008;104;115;266;26/10/2011;10;375
27/10/2011;177;710;94;304;14;23;10;88;1134;0;398;-12;850;350;30537;30252;81;115;398;27/10/2011;10;2,85E+16
28/10/2011;328;420;98;303;68;101;2730;89;1135;0;448;144;850;230;30409;30076;173;276;448;28/10/2011;10;3,33E+15
29/10/2011;412;290;105;299;134;193;2670;89;1135;0;483;369;400;170;30061;29786;357;518;483;29/10/2011;10;2,75E+15
30/10/2011;446;350;182;300;97;135;2670;89;1135;0;532;366;480;260;30094;29981;253;345;532;30/10/2011;10;1,13E+16
31/10/2011;494;300;190;299;91;134;2730;89;1135;0;559;425;470;240;30005;29759;196;322;559;31/10/2011;10;2,46E+16
1/11/2011;340;730;254;299;48;72;730;0;1135;0;454;211;900;380;30225;29766;150;196;454;1/11/2011;11;4,59E+15
2/11/2011;214;860;180;305;19;34;930;2;1155;0;295;156;890;810;3061;30197;81;115;295;2/11/2011;11;4,13E+16
3/11/2011;209;710;98;305;18;30;3030;2;1155;0;536;26;860;110;30678;29585;161;219;536;3/11/2011;11;1093
5/11/2011;335;550;176;294;78;119;2790;2;1155;0;510;222;810;290;29603;2921;345;529;510;5/11/2011;11;3,93E+15
6/11/2011;267;460;84;299;109;149;2720;2;1155;0;340;172;640;330;30195;2949;288;391;340;6/11/2011;11;7,05E+15
7/11/2011;246;690;153;302;22;35;730;2;1155;0;391;148;840;340;30272;30034;127;196;391;7/11/2011;11;2,38E+16
8/11/2011;254;540;91;303;38;58;2790;2;1155;0;393;116;850;240;30456;30041;173;276;393;8/11/2011;11;4,15E+16
9/11/2011;305;310;9;304;57;91;2980;2;1155;0;433;148;620;140;30521;30325;173;276;433;9/11/2011;11;1,96E+15
10/11/2011;394;140;-64;302;127;187;2770;2;1155;0;473;322;190;90;30353;29889;345;460;473;10/11/2011;11;4,64E+15
11/11/2011;434;110;-86;298;127;176;2720;2;1155;0;541;362;200;60;2994;29497;276;380;541;11/11/2011;11;4,43E+15
12/11/2011;374;480;171;294;183;263;2760;2;1155;0;433;300;890;160;29581;29195;483;771;433;12/11/2011;11;3,86E+16
13/11/2011;355;580;216;295;134;197;2720;2;1155;0;413;288;890;410;29665;29195;472;679;413;13/11/2011;11;4,7E+16
14/11/2011;348;360;100;297;7;10;2780;2;1155;0;413;301;630;230;29772;29589;207;288;413;14/11/2011;11;1,83E+16
15/11/2011;328;400;110;298;0;0;2830;2;1155;0;362;284;610;270;29984;29599;0;0;362;15/11/2011;11;3,85E+16
16/11/2011;277;230;-61;302;0;0;2690;2;1155;0;337;220;400;110;30359;29984;0;12;337;16/11/2011;11;375
17/11/2011;380;240;45;299;110;160;2770;2;1155;0;452;279;280;170;3022;29628;345;529;452;17/11/2011;11;5,92E+15
18/11/2011;425;280;113;295;116;166;2730;2;1155;0;505;363;370;190;29669;2927;311;449;505;18/11/2011;11;3,99E+15
19/11/2011;290;730;205;297;58;86;2740;24;1159;0;428;235;880;270;30054;2923;242;345;428;19/11/2011;11;8,24E+15
20/11/2011;332;580;187;300;75;105;2730;3;1165;0;442;182;860;370;3006;29908;207;288;442;20/11/2011;11;1,52E+16
21/11/2011;385;470;196;299;73;106;2710;3;1165;0;457;293;790;310;30051;29823;230;322;457;21/11/2011;11;2,28E+16
22/11/2011;378;430;169;301;106;152;2600;3;1165;0;441;294;640;330;30201;29981;299;403;441;22/11/2011;11;2,2E+16
23/11/2011;420;280;101;301;11;16;2740;3;1165;0;554;297;450;140;30204;29956;150;265;554;23/11/2011;11;2,48E+15
24/11/2011;479;180;60;298;0;0;2740;3;1165;0;560;300;430;110;29973;29591;0;0;560;24/11/2011;11;3,82E+15
25/11/2011;369;420;143;298;83;125;2830;3;1165;0;462;232;870;240;30117;2956;299;437;462;25/11/2011;11;5,57E+15
26/11/2011;245;360;-2;305;75;110;2900;3;1165;0;341;166;730;190;30678;30117;196;276;341;26/11/2011;11;5,61E+15
27/11/2011;454;210;69;302;113;169;2870;3;1165;0;565;322;320;150;30492;29923;265;368;565;27/11/2011;11;5,69E+15
28/11/2011;459;230;76;301;99;141;2610;3;1165;0;565;300;590;120;3027;29898;253;403;565;28/11/2011;11;3,72E+15
29/11/2011;379;410;132;302;79;114;2780;3;1165;0;519;205;790;180;30357;29904;207;288;519;29/11/2011;11;4,53E+15
30/11/2011;409;300;95;298;84;119;2700;3;1165;0;496;271;860;160;29998;29604;207;311;496;30/11/2011;11;3,94E+15
22/12/2011;111;800;62;305;21;32;2990;9;1174;0;232;-72;860;720;3076;30082;115;173;232;22/12/2011;12;6,78E+15
23/12/2011;131;730;56;307;6;11;2530;17;1182;0;388;-91;830;410;30955;30539;69;115;388;23/12/2011;12;4,16E+15
24/12/2011;180;590;39;307;9;18;1800;18;1183;0;433;9;830;170;30881;30509;81;138;433;24/12/2011;12;3,72E+15
25/12/2011;211;630;87;306;4;9;1830;18;1183;0;539;43;820;200;30886;30175;46;69;539;25/12/2011;12;7,11E+15
26/12/2011;374;270;56;300;121;178;1940;18;1183;0;419;191;690;180;30175;29807;334;426;419;26/12/2011;12;3,68E+15
27/12/2011;358;260;34;300;121;173;2340;18;1183;0;454;288;420;160;30078;29858;322;460;454;27/12/2011;12;2,2E+16
28/12/2011;387;360;139;299;175;259;2300;18;1183;0;457;301;470;230;30035;29811;380;506;457;28/12/2011;12;2,24E+15
29/12/2011;395;450;187;298;172;256;2460;19;1184;0;457;341;840;240;29977;2953;334;506;457;29/12/2011;12;4,47E+15
30/12/2011;418;330;146;298;144;216;2360;19;1184;0;511;349;420;200;29909;29616;334;495;511;30/12/2011;12;2,93E+16
31/12/2011;296;350;38;299;126;193;2390;19;1184;0;445;221;810;140;30459;29376;299;518;445;31/12/2011;12;1,083E+16
1/01/2012;324;260;-11;305;108;153;2340;0;0;0;442;227;560;100;30642;30322;288;472;442;1/01/2012;1;3,2E+15
2/01/2012;366;380;94;305;77;107;2330;0;0;0;528;124;780;170;30846;30124;196;311;528;2/01/2012;1;7,22E+15
3/01/2012;437;210;61;301;106;155;2370;0;0;0;523;360;280;150;30294;29905;288;495;523;3/01/2012;1;3,89E+16
4/01/2012;451;180;35;302;105;149;2380;0;0;0;551;379;340;100;30305;3016;196;299;551;4/01/2012;1;1,45E+16
5/01/2012;435;290;116;300;72;100;2430;0;0;0;566;281;550;160;30278;29834;207;311;566;5/01/2012;1;4,44E+16
6/01/2012;342;450;112;299;56;82;2510;0;0;0;468;154;850;110;30125;29752;150;242;468;6/01/2012;1;3,73E+15
7/01/2012;234;760;164;301;32;52;570;0;0;0;346;112;890;510;30299;29961;138;184;346;7/01/2012;1;3,38E+16
8/01/2012;141;690;49;305;16;27;2520;4;4;0;352;-16;830;260;30656;30276;150;196;352;8/01/2012;1;3,8E+14
9/01/2012;233;680;132;305;15;26;290;4;4;0;460;63;850;370;307;30219;104;115;460;9/01/2012;1;4,81E+15
10/01/2012;332;490;122;300;62;88;2380;4;4;0;512;135;860;160;30319;29697;173;253;512;10/01/2012;1;6,22E+15
11/01/2012;194;510;24;301;63;101;2490;4;4;0;335;123;800;170;3035;29697;219;426;335;11/01/2012;1;6,53E+15
12/01/2012;232;240;-83;302;86;137;2550;4;4;0;352;157;350;170;30355;30053;207;345;352;12/01/2012;1;3,02E+15
13/01/2012;296;220;-51;301;140;215;2500;4;4;0;369;227;270;170;30199;30052;334;483;369;13/01/2012;1;1,47E+16
14/01/2012;388;230;38;300;148;222;2380;4;4;0;462;294;300;180;30148;29799;265;449;462;14/01/2012;1;3,49E+15
15/01/2012;402;180;-7;297;158;226;2390;4;4;0;468;360;240;110;2982;29579;299;426;468;15/01/2012;1;2,41E+16
16/01/2012;290;490;112;297;89;130;2370;4;4;0;380;102;850;240;301;29425;219;311;380;16/01/2012;1;6,75E+15
17/01/2012;146;290;-123;303;145;215;2430;4;4;0;221;86;390;200;30368;30067;253;403;221;17/01/2012;1;3,01E+15
18/01/2012;303;340;48;299;218;317;2470;4;4;0;375;218;560;210;30152;2969;334;541;375;18/01/2012;1;4,62E+16
19/01/2012;403;490;227;296;223;320;2450;4;4;0;461;331;610;410;2977;29506;357;529;461;19/01/2012;1;2,64E+16
20/01/2012;372;510;206;298;102;147;2390;4;4;0;415;340;740;350;29928;29554;242;368;415;20/01/2012;1;3,74E+16
21/01/2012;417;410;191;294;163;239;2410;4;4;0;520;359;690;260;29831;29119;345;506;520;21/01/2012;1;7,12E+15
22/01/2012;298;410;82;296;156;228;2400;4;4;0;377;253;600;250;29911;29095;345;495;377;22/01/2012;1;8,16E+15
23/01/2012;310;370;66;299;107;157;2430;4;4;0;415;225;640;200;2997;29739;311;449;415;23/01/2012;1;2,31E+15
24/01/2012;255;700;167;301;34;52;520;4;4;0;358;126;860;440;30373;29809;138;219;358;24/01/2012;1;5,64E+15
25/01/2012;377;290;78;300;175;255;2410;4;4;0;513;250;460;150;30285;29843;380;495;513;25/01/2012;1;4,42E+16
26/01/2012;369;390;131;299;114;165;2300;4;4;0;457;317;810;230;3009;29732;253;368;457;26/01/2012;1;3,58E+16
27/01/2012;265;380;35;301;83;128;2400;4;4;0;347;189;670;210;30404;29722;230;368;347;27/01/2012;1;6,82E+15
28/01/2012;264;180;-118;303;178;268;2450;4;4;0;340;183;270;120;30412;30202;311;495;340;28/01/2012;1;2,1E+15
29/01/2012;367;280;65;302;135;194;2330;4;4;0;467;285;350;220;30306;2988;288;449;467;29/01/2012;1;4,26E+16
30/01/2012;396;280;90;298;114;163;2370;4;4;0;470;335;410;190;29897;2968;276;357;470;30/01/2012;1;2,17E+16
31/01/2012;335;300;46;300;91;130;2350;4;4;0;422;264;420;180;30169;29802;276;380;422;31/01/2012;1;3,67E+15
1/03/2012;241;580;107;298;54;81;2480;0;38;0;309;162;870;320;29917;29675;184;288;309;1/03/2012;3;2,42E+16
2/03/2012;157;460;-26;301;65;98;2540;0;38;0;267;34;690;230;30351;29899;242;345;267;2/03/2012;3;4,52E+15
3/03/2012;259;350;18;301;167;265;2550;0;38;0;352;135;450;270;30248;2994;322;506;352;3/03/2012;3;3,08E+16
4/03/2012;369;370;124;301;155;209;2310;0;38;0;460;294;550;250;30228;29954;345;529;460;4/03/2012;3;2,74E+15
5/03/2012;442;220;74;299;146;205;2330;0;38;0;522;360;270;150;3008;29578;345;495;522;5/03/2012;3;5,02E+15
6/03/2012;464;170;16;294;131;185;2230;0;38;0;562;300;430;70;29596;29228;322;518;562;6/03/2012;3;3,68E+16
7/03/2012;262;770;196;298;35;54;470;0;38;0;365;219;890;340;30282;29403;115;138;365;7/03/2012;3;8,79E+15
8/03/2012;286;570;132;305;21;36;600;0;38;0;446;157;850;270;30676;30268;104;173;446;8/03/2012;3;4,08E+15
9/03/2012;322;420;63;304;16;32;910;0;38;0;556;123;770;90;30729;2925;138;242;556;9/03/2012;3;1,479E+16
10/03/2012;377;410;104;300;17;33;820;0;38;0;596;161;710;80;3026;29723;104;161;596;10/03/2012;3;5,37E+15
11/03/2012;389;410;123;297;56;86;2440;0;38;0;534;245;760;120;2981;29569;219;322;534;11/03/2012;3;2,41E+16
12/03/2012;459;230;97;297;114;165;2360;0;38;0;550;353;360;150;29934;29489;288;426;550;12/03/2012;3;4,45E+15
13/03/2012;493;160;47;297;128;183;2270;0;38;0;583;425;250;90;29862;2959;265;380;583;13/03/2012;3;2,72E+16
14/03/2012;504;120;-11;298;98;141;2350;0;38;0;596;382;210;60;29918;29644;219;311;596;14/03/2012;3;2,74E+15
15/03/2012;487;230;112;299;61;95;2490;0;38;0;602;329;550;150;30032;29781;161;265;602;15/03/2012;3;2,51E+15
16/03/2012;478;290;137;297;87;125;2350;0;38;0;613;270;690;140;2997;29533;276;368;613;16/03/2012;3;4,37E+15
17/03/2012;507;220;110;295;35;60;1570;0;38;0;647;334;410;110;29715;29321;127;196;694;17/03/2012;3;3,94E+16
18/03/2012;394;450;161;294;70;106;1800;0;38;0;599;236;890;130;29535;29169;265;357;599;18/03/2012;3;3,66E+16
19/03/2012;287;340;35;295;96;143;2450;0;38;0;383;235;600;210;29752;29214;253;368;383;19/03/2012;3;5,38E+15
20/03/2012;316;280;8;299;62;94;2360;0;38;0;445;172;490;110;30086;29726;196;311;445;20/03/2012;3;3,6E+16
21/03/2012;394;330;109;300;42;64;410;0;38;0;593;186;580;170;30069;29883;184;253;593;21/03/2012;3;1,86E+16
22/03/2012;414;420;153;299;26;45;500;0;38;0;620;216;760;150;30065;29772;138;184;620;22/03/2012;3;2,93E+15
23/03/2012;490;280;130;299;40;62;2210;0;38;0;689;276;570;70;30031;29759;184;265;717;23/03/2012;3;2,72E+16
24/03/2012;500;320;178;299;49;81;2300;0;38;0;640;300;700;120;29978;2976;138;207;640;24/03/2012;3;2,18E+16
25/03/2012;457;480;211;299;23;41;3300;0;38;0;692;270;860;100;30112;29718;138;196;724;25/03/2012;3;3,94E+16
26/03/2012;462;340;129;296;79;114;2370;0;38;0;670;298;720;60;29761;29323;265;391;691;26/03/2012;3;4,38E+16
27/03/2012;471;210;73;298;95;138;2280;0;38;0;593;351;380;90;29945;29458;230;380;593;27/03/2012;3;4,87E+15
28/03/2012;464;290;115;298;66;97;2380;0;38;0;629;250;590;100;30023;29634;219;288;629;28/03/2012;3;3,89E+16
29/03/2012;512;210;113;297;66;98;2390;0;38;0;595;428;430;140;29771;29554;219;276;595;29/03/2012;3;2,17E+15
30/03/2012;536;240;170;297;82;118;2350;0;38;0;658;441;370;140;29731;29572;253;322;715;30/03/2012;3;1,59E+16
31/03/2012;584;210;169;296;84;120;2300;0;38;0;708;496;310;60;29739;29349;230;322;733;31/03/2012;3;3,9E+16
1/04/2012;601;140;104;292;92;124;2390;0;38;0;720;491;240;90;29362;29063;276;345;724;1/04/2012;4;2,99E+15
2/04/2012;360;610;225;297;44;65;390;0;38;0;501;294;890;220;30156;29122;196;265;501;2/04/2012;4;1,034E+15
3/04/2012;295;810;245;302;17;31;800;21;59;0;347;260;890;710;30264;30065;115;196;347;3/04/2012;4;1,99E+16
4/04/2012;394;680;286;298;18;29;530;22;6;0;568;230;900;300;30129;29488;115;161;568;4/04/2012;4;6,41E+15
5/04/2012;458;500;243;296;24;41;1270;22;6;0;612;268;850;130;29903;29439;127;196;612;5/04/2012;4;4,64E+16
6/04/2012;440;330;79;296;104;151;2340;22;6;0;613;275;810;60;29872;29446;288;391;613;6/04/2012;4;4,26E+15
7/04/2012;389;220;-3;301;103;153;2410;22;6;0;563;263;530;70;30322;29864;265;426;563;7/04/2012;4;4,58E+15
8/04/2012;470;170;3;301;55;81;2290;22;6;0;656;254;540;60;3028;29931;173;265;671;8/04/2012;4;3,49E+15
9/04/2012;453;310;113;300;38;63;2750;22;6;0;669;236;610;60;30138;29946;161;242;710;9/04/2012;4;1,92E+16
10/04/2012;470;430;201;300;28;47;870;22;6;0;708;242;800;90;30148;29811;265;345;728;10/04/2012;4;3,37E+16
11/04/2012;458;650;336;298;27;47;580;31;69;0;636;284;860;270;30037;29455;127;173;636;11/04/2012;4;5,82E+15
12/04/2012;455;400;199;296;104;152;2440;31;69;0;547;375;880;160;29643;29455;299;380;547;12/04/2012;4;1,88E+15
13/04/2012;420;330;136;297;91;133;2360;31;69;0;522;338;600;150;29743;29562;253;357;522;13/04/2012;4;1,81E+16
14/04/2012;366;660;255;295;20;35;530;32;7;0;486;270;920;310;29625;29375;127;173;486;14/04/2012;4;25
15/04/2012;331;740;254;297;38;59;3290;46;84;0;446;284;920;370;30024;29468;230;311;446;15/04/2012;4;5,56E+15
16/04/2012;378;500;180;301;58;94;2540;46;84;0;483;250;890;250;30147;29947;173;276;483;16/04/2012;4;2E+15
17/04/2012;458;340;184;300;84;121;2400;46;84;0;562;360;510;220;30153;29873;207;288;562;17/04/2012;4;2,8E+15
18/04/2012;480;390;227;298;93;132;2310;46;84;0;616;341;590;190;29984;29645;276;380;616;18/04/2012;4;3,39E+15
19/04/2012;445;470;237;298;65;102;2550;47;85;0;549;366;800;230;29945;29645;184;276;549;19/04/2012;4;3E+15
20/04/2012;461;490;254;300;82;119;2340;48;86;0;579;285;920;260;30162;29804;219;299;579;20/04/2012;4;3,58E+16
21/04/2012;559;300;226;299;81;120;2480;48;86;0;694;429;660;130;30024;29776;219;322;749;21/04/2012;4;2,48E+15
22/04/2012;501;490;283;301;36;56;380;48;86;0;688;290;870;160;30201;29964;207;207;752;22/04/2012;4;2,37E+16
23/04/2012;531;400;250;300;21;37;3370;48;86;0;743;306;770;120;30147;29753;150;219;747;23/04/2012;4;3,94E+16
24/04/2012;561;330;228;297;48;74;2540;48;86;0;742;352;620;120;29881;295;253;345;749;24/04/2012;4;3,81E+15
25/04/2012;538;340;236;297;26;44;2520;48;86;0;693;355;550;150;29851;29648;184;219;745;25/04/2012;4;2,03E+15
26/04/2012;553;480;345;296;49;74;2030;54;92;0;678;439;810;200;29814;29349;184;276;778;26/04/2012;4;4,65E+16
27/04/2012;459;430;229;295;127;193;2510;54;92;0;514;313;880;220;29803;29325;288;426;514;27/04/2012;4;4,78E+16
28/04/2012;392;340;96;299;107;156;2450;54;92;0;548;256;800;130;29956;29776;288;426;548;28/04/2012;4;1,8E+16
29/04/2012;407;480;195;299;46;68;2370;54;92;0;578;227;830;150;30005;29828;207;322;578;29/04/2012;4;1,77E+15
30/04/2012;490;310;136;298;71;105;2400;54;92;0;660;233;730;110;30014;29524;207;357;706;30/04/2012;4;4,9E+16
1/05/2012;557;280;212;295;103;147;2320;0;92;0;634;486;540;170;29554;29386;253;334;634;1/05/2012;5;1,68E+16
2/05/2012;518;480;311;296;65;98;2510;12;104;0;654;391;810;230;29769;29533;219;311;756;2/05/2012;5;2,36E+15
3/05/2012;547;430;285;297;31;53;2770;12;104;0;693;328;880;180;29917;29525;150;196;765;3/05/2012;5;3,92E+14
4/05/2012;616;180;155;296;73;107;2390;12;104;0;760;442;340;70;29691;29482;219;311;750;4/05/2012;5;2,09E+16
5/05/2012;609;170;139;296;89;129;2350;12;104;0;738;445;380;80;29774;29466;242;322;736;5/05/2012;5;3,08E+16
6/05/2012;399;560;236;300;29;52;770;21;113;0;505;285;910;230;30215;29774;127;173;505;6/05/2012;5;4,41E+16
7/05/2012;362;860;323;302;35;53;540;33;125;0;426;330;920;670;30313;3012;127;161;426;7/05/2012;5;1,93E+16
8/05/2012;419;610;273;302;19;37;820;34;126;0;570;238;920;300;30348;30022;104;138;570;8/05/2012;5;3,26E+15
9/05/2012;501;430;220;299;36;58;1930;34;126;0;723;267;890;130;30114;2969;161;207;742;9/05/2012;5;4,24E+15
10/05/2012;567;270;181;296;62;92;2440;34;126;0;746;321;670;100;2978;29477;207;276;745;10/05/2012;5;3,03E+15
11/05/2012;365;770;295;301;29;46;700;38;13;0;546;321;920;390;30298;29562;115;173;546;11/05/2012;5;7,36E+15
12/05/2012;403;820;348;303;26;41;550;53;145;0;554;304;940;410;30368;30117;184;219;554;12/05/2012;5;2,51E+16
13/05/2012;414;750;332;302;24;41;3210;59;151;0;538;312;940;370;30309;30137;104;173;538;13/05/2012;5;1,72E+15
14/05/2012;476;460;203;302;20;36;770;59;151;0;689;236;900;100;30343;29952;127;196;725;14/05/2012;5;3,91E+16
15/05/2012;532;330;205;300;25;46;980;59;151;0;704;301;690;110;3015;29861;127;161;740;15/05/2012;5;2,89E+15
16/05/2012;563;340;253;298;68;100;2290;59;151;0;729;376;570;110;29921;2958;207;345;745;16/05/2012;5;3,41E+15
17/05/2012;594;320;285;296;75;108;2340;59;151;0;735;439;600;170;29691;2945;230;311;762;17/05/2012;5;2,41E+16
18/05/2012;553;380;257;295;54;84;2470;59;151;0;720;363;720;130;2959;29383;276;426;759;18/05/2012;5;2,07E+16
19/05/2012;426;790;359;298;30;46;610;99;191;0;528;335;920;410;302;29429;230;345;528;19/05/2012;5;7,71E+15
20/05/2012;472;630;328;301;26;43;2390;10;192;0;624;298;940;270;30264;30009;173;265;624;20/05/2012;5;2,55E+14
21/05/2012;561;430;278;300;26;45;2620;10;192;0;766;321;860;130;30151;2975;161;311;764;21/05/2012;5;4,01E+15
22/05/2012;599;330;235;296;51;78;2390;10;192;0;803;363;720;80;29777;29271;242;345;783;22/05/2012;5;5,06E+15
23/05/2012;484;610;338;294;23;41;970;122;214;0;553;398;890;220;29545;29256;115;127;553;23/05/2012;5;2,89E+15
24/05/2012;441;550;269;296;64;95;2350;122;214;0;544;362;910;240;29794;29499;230;334;544;24/05/2012;5;2,95E+15
25/05/2012;436;760;363;297;20;36;2480;122;214;0;499;382;900;660;29788;2967;69;115;499;25/05/2012;5;1,18E+16
26/05/2012;577;480;317;295;55;93;1880;122;214;0;751;349;930;100;29775;29149;242;357;782;26/05/2012;5;6,26E+15
27/05/2012;494;190;81;296;117;173;2410;122;214;0;583;425;370;100;29801;29296;288;380;583;27/05/2012;5;5,05E+14
28/05/2012;528;230;146;298;126;184;2450;122;214;0;652;431;370;100;29908;29641;299;437;710;28/05/2012;5;2,67E+14
29/05/2012;510;350;217;299;23;41;3180;122;214;0;699;301;600;120;30028;29755;138;242;756;29/05/2012;5;2,73E+15
30/05/2012;552;390;263;298;44;71;2860;122;214;0;735;341;690;130;29884;29669;184;265;768;30/05/2012;5;2,15E+16
31/05/2012;513;550;346;299;30;49;590;122;214;0;642;349;830;330;29946;29807;138;196;642;31/05/2012;5;1,39E+15
1/06/2012;593;440;349;297;59;87;2800;0;214;0;730;389;840;210;29827;29606;173;265;786;1/06/2012;6;2,21E+16
2/06/2012;563;570;391;297;45;66;3290;13;227;0;809;376;880;190;29854;29493;253;345;791;2/06/2012;6;3,61E+16
3/06/2012;652;350;352;296;38;60;2090;13;227;0;788;495;650;160;29778;29498;173;242;785;3/06/2012;6;2,8E+15
4/06/2012;642;400;337;297;30;55;1230;13;227;0;818;409;800;120;29891;29517;127;265;795;4/06/2012;6;3,74E+15
5/06/2012;596;540;412;296;27;45;560;26;24;0;744;433;800;250;29662;29456;150;196;788;5/06/2012;6;2,06E+16
6/06/2012;604;520;393;296;44;69;760;26;24;0;747;405;870;160;29686;29438;150;242;791;6/06/2012;6;2,48E+15
7/06/2012;625;600;472;296;38;60;480;26;24;0;744;517;850;310;29713;29565;150;196;790;7/06/2012;6;1,48E+15
